Coordinates,Y,X,Type
"40.806816541966, -73.958883645925",40.80681654,-73.95888365,B
"40.813592221035, -73.947507894573",40.81359222,-73.94750789,B
"40.776399746899, -73.948297218396",40.77639975,-73.94829722,B
"40.774601200025, -73.951004405483",40.7746012,-73.95100441,B
"40.778683716812, -73.9556391376",40.77868372,-73.95563914,B
"40.776399746899, -73.948297218396",40.77639975,-73.94829722,B
"40.780022028266, -73.959005518797",40.78002203,-73.95900552,B
"40.824470296886, -73.943277464222",40.8244703,-73.94327746,B
"40.829166048592, -73.947184269292",40.82916605,-73.94718427,B
"40.838866718504, -73.94560193361",40.83886672,-73.94560193,B
"40.761790299211, -74.000714455732",40.7617903,-74.00071446,B
"40.759089859556, -73.994274555703",40.75908986,-73.99427456,B
"40.760317598824, -73.98719872068",40.7603176,-73.98719872,B
"40.761406156589, -73.999416350387",40.76140616,-73.99941635,B
"40.761296373476, -73.999591014064",40.76129637,-73.99959101,B
"40.760013912949, -73.992498056462",40.76001391,-73.99249806,B
"40.760629824717, -73.995694114825",40.76062982,-73.99569411,B
"40.759765273314, -73.989891742351",40.75976527,-73.98989174,B
"40.706705395461, -74.005279743115",40.7067054,-74.00527974,B
"40.70984789669, -74.008816570979",40.7098479,-74.00881657,B
"40.707446649069, -74.00709031802",40.70744665,-74.00709032,B
"40.707506956862, -74.005623065869",40.70750696,-74.00562307,B
"40.706518018016, -74.005552741702",40.70651802,-74.00555274,B
"40.769055171028, -73.942078911191",40.76905517,-73.94207891,B
"40.758715062756, -73.973689272056",40.75871506,-73.97368927,B
"40.764463078587, -73.969694540822",40.76446308,-73.96969454,B
"40.763267903013, -73.962825403531",40.7632679,-73.9628254,B
"40.765657290241, -73.966694070942",40.76565729,-73.96669407,B
"40.763541027328, -73.963474162837",40.76354103,-73.96347416,B
"40.763208014315, -73.964762461355",40.76320801,-73.96476246,B
"40.76658717858, -73.960971075092",40.76658718,-73.96097108,B
"40.763013679889, -73.966266258604",40.76301368,-73.96626626,B
"40.76564614231, -73.971966707135",40.76564614,-73.97196671,B
"40.766151654891, -73.959945046324",40.76615165,-73.95994505,B
"40.773909776832, -73.95422070937",40.77390978,-73.95422071,B
"40.775205577153, -73.960638313536",40.77520558,-73.96063831,B
"40.77286249994, -73.95793967599",40.7728625,-73.95793968,B
"40.772492983738, -73.957070975544",40.77249298,-73.95707098,B
